"Test","Parameter","Verdict","Time","Duration","Log","Band","Type","Version"
"11.1.1","none","INCONCLUSIVE","4/3/2017 5:21:41 PM","00:03:21","11_1_1\GSM900 none 03-04-17 172141\","GSM900","GERAN","2.00.2"
"11.1.1","none","FAIL","4/3/2017 5:28:48 PM","00:02:40","11_1_1\GSM900 none 03-04-17 172848\","GSM900","GERAN","2.00.2"
"11.1.2","none","INCONCLUSIVE","4/3/2017 5:31:29 PM","00:01:56","11_1_2\GSM900 none 03-04-17 173129\","GSM900","GERAN","2.00.2"
"11.2","none","PASS","4/3/2017 5:33:25 PM","00:00:53","11_2\GSM900 none 03-04-17 173325\","GSM900","GERAN","2.00.2"
"12.2.1","none","ERROR","4/3/2017 5:34:18 PM","00:06:44","12_2_1\GSM900 none 03-04-17 173418\","GSM900","GERAN","2.00.2"
"12.2.2","none","INCONCLUSIVE","4/3/2017 5:41:02 PM","00:02:52","12_2_2\GSM900 none 03-04-17 174102\","GSM900","GERAN","2.00.2"
"19.1","none","FAIL","4/3/2017 5:43:58 PM","00:02:28","19_1\GSM900 none 03-04-17 174358\","GSM900","GERAN","2.00.2"
"19.2","none","PASS","4/3/2017 5:46:26 PM","00:04:57","19_2\GSM900 none 03-04-17 174626\","GSM900","GERAN","2.00.2"
"19.3","none","ERROR","4/3/2017 5:51:23 PM","00:09:04","19_3\GSM900 none 03-04-17 175123\","GSM900","GERAN","2.00.2"
"20.14","none","INVALID","4/3/2017 8:44:30 PM","00:02:30","20_14\GSM900 none 03-04-17 204430\","GSM900","GERAN","2.01.1"
"25.2.1.1.1","FACCH/F","PASS","4/3/2017 8:47:11 PM","00:00:54","25_2_1_1_1\GSM900 FACCH_F 03-04-17 204711\","GSM900","GERAN","2.01.1"
"25.2.1.1.1","FACCH/H","PASS","4/3/2017 8:48:05 PM","00:00:55","25_2_1_1_1\GSM900 FACCH_H 03-04-17 204805\","GSM900","GERAN","2.01.1"
"25.2.1.1.1","SDCCH","PASS","4/3/2017 8:49:00 PM","00:00:57","25_2_1_1_1\GSM900 SDCCH 03-04-17 204900\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.1","FACCH/F","PASS","4/3/2017 8:49:57 PM","00:00:54","25_2_1_1_2_1\GSM900 FACCH_F 03-04-17 204957\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.1","FACCH/H","PASS","4/3/2017 8:50:51 PM","00:00:55","25_2_1_1_2_1\GSM900 FACCH_H 03-04-17 205051\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.1","SDCCH","PASS","4/3/2017 8:51:46 PM","00:00:56","25_2_1_1_2_1\GSM900 SDCCH 03-04-17 205146\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.2","FACCH/F","PASS","4/3/2017 8:52:42 PM","00:01:07","25_2_1_1_2_2\GSM900 FACCH_F 03-04-17 205242\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.2","FACCH/H","INCONCLUSIVE","4/3/2017 8:53:49 PM","00:00:59","25_2_1_1_2_2\GSM900 FACCH_H 03-04-17 205349\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.2","SDCCH","PASS","4/3/2017 8:54:48 PM","00:01:07","25_2_1_1_2_2\GSM900 SDCCH 03-04-17 205448\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.3","FACCH/F","PASS","4/3/2017 8:55:55 PM","00:00:56","25_2_1_1_2_3\GSM900 FACCH_F 03-04-17 205555\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.3","FACCH/H","PASS","4/3/2017 8:56:51 PM","00:00:57","25_2_1_1_2_3\GSM900 FACCH_H 03-04-17 205651\","GSM900","GERAN","2.01.1"
"25.2.1.1.2.3","SDCCH","PASS","4/3/2017 8:57:48 PM","00:00:57","25_2_1_1_2_3\GSM900 SDCCH 03-04-17 205748\","GSM900","GERAN","2.01.1"
"25.2.1.1.3","FACCH/F","PASS","4/3/2017 8:58:45 PM","00:00:55","25_2_1_1_3\GSM900 FACCH_F 03-04-17 205845\","GSM900","GERAN","2.01.1"
"25.2.1.1.3","FACCH/H","PASS","4/3/2017 8:59:40 PM","00:00:56","25_2_1_1_3\GSM900 FACCH_H 03-04-17 205940\","GSM900","GERAN","2.01.1"
"25.2.1.1.3","SDCCH","PASS","4/3/2017 9:00:36 PM","00:00:54","25_2_1_1_3\GSM900 SDCCH 03-04-17 210036\","GSM900","GERAN","2.01.1"
"25.2.1.1.4","FACCH/F","PASS","4/3/2017 9:01:30 PM","00:01:26","25_2_1_1_4\GSM900 FACCH_F 03-04-17 210130\","GSM900","GERAN","2.01.1"
"25.2.1.1.4","FACCH/H","PASS","4/3/2017 9:02:56 PM","00:01:30","25_2_1_1_4\GSM900 FACCH_H 03-04-17 210256\","GSM900","GERAN","2.01.1"
"25.2.1.1.4","SDCCH","PASS","4/3/2017 9:04:26 PM","00:01:30","25_2_1_1_4\GSM900 SDCCH 03-04-17 210426\","GSM900","GERAN","2.01.1"
"25.2.1.2.1","FACCH/F","PASS","4/3/2017 9:05:56 PM","00:01:04","25_2_1_2_1\GSM900 FACCH_F 03-04-17 210556\","GSM900","GERAN","2.01.1"
"25.2.1.2.1","FACCH/H","PASS","4/3/2017 9:07:00 PM","00:01:05","25_2_1_2_1\GSM900 FACCH_H 03-04-17 210700\","GSM900","GERAN","2.01.1"
"25.2.1.2.2","FACCH/F","PASS","4/3/2017 9:08:05 PM","00:01:00","25_2_1_2_2\GSM900 FACCH_F 03-04-17 210805\","GSM900","GERAN","2.01.1"
"25.2.1.2.2","FACCH/H","PASS","4/3/2017 9:09:05 PM","00:01:03","25_2_1_2_2\GSM900 FACCH_H 03-04-17 210905\","GSM900","GERAN","2.01.1"
"25.2.1.2.3","FACCH/F","PASS","4/3/2017 9:10:08 PM","00:00:56","25_2_1_2_3\GSM900 FACCH_F 03-04-17 211008\","GSM900","GERAN","2.01.1"
"25.2.1.2.3","FACCH/H","PASS","4/3/2017 9:11:04 PM","00:00:56","25_2_1_2_3\GSM900 FACCH_H 03-04-17 211104\","GSM900","GERAN","2.01.1"
"25.2.1.2.3","SDCCH","PASS","4/3/2017 9:12:00 PM","00:00:54","25_2_1_2_3\GSM900 SDCCH 03-04-17 211200\","GSM900","GERAN","2.01.1"
